borough,bor_sqkm,pop,pop_per_sqkm_bor,in_o_out,reg,borough,stat,c_stat,adress,lat,long,html,pop_per_stat,pop_per_sqkm_stat,area_sqkm_stat,distance_stat
Lewisham,35.15,299810.0,8529.0,1.0,south_east,Lewisham,New Cross,E38,"266 Queen's Road, SE14 5JN",51.47373132,-0.04923807,https://www.london-fire.gov.uk/community/lewisham/,74952,2132,9,6577.655665872406
Lewisham,35.15,299810.0,8529.0,1.0,south_east,Lewisham,Deptford,E36,"186 Evelyn Street, SE8 5DB",51.48489956,-0.03380805,https://www.london-fire.gov.uk/community/lewisham/,74952,2132,9,6948.464184782571
Southwark,28.85,306374.0,10620.0,1.0,south_east,Southwark,Peckham,E37,"78-80 Peckham Road, SE5 8PR",51.47405032,-0.07799246,https://www.london-fire.gov.uk/community/southwark/,102125,3540,10,5037.216063725273
Southwark,28.85,306374.0,10620.0,1.0,south_east,Southwark,Old Kent Road,E35,"405 Old Kent Road, SE1 5AA",51.48695786,-0.07366975,https://www.london-fire.gov.uk/community/southwark/,102125,3540,10,4356.591980686375
Southwark,28.85,306374.0,10620.0,1.0,south_east,Southwark,Dockhead,E34,"8 Wolseley Street, SE1 2BP",51.50061865,-0.07079419,https://www.london-fire.gov.uk/community/southwark/,102125,3540,10,3995.7272808928305
Tower Hamlets,19.77,312273.0,15795.0,1.0,north_east,Tower Hamlets,Millwall,F23,"43 Westferry Road, E14 8JH",51.500806,-0.025725,https://www.london-fire.gov.uk/community/tower-hamlets/,62455,3159,4,7085.7818044911555
Tower Hamlets,19.77,312273.0,15795.0,1.0,north_east,Tower Hamlets,Shadwell,F25,"290 Cable Street, E1 0BX",51.510868,-0.055828,https://www.london-fire.gov.uk/community/tower-hamlets/,62455,3159,4,4981.476274561277
Tower Hamlets,19.77,312273.0,15795.0,1.0,north_east,Tower Hamlets,Poplar,F22,"168 East India Dock Road, E14 0BP",51.51088,-0.015706,https://www.london-fire.gov.uk/community/tower-hamlets/,62455,3159,4,7754.7944072924065
Tower Hamlets,19.77,312273.0,15795.0,1.0,north_east,Tower Hamlets,Whitechapel,F33,27 Commercial Road E1 1LD,51.515125,-0.068433,https://www.london-fire.gov.uk/community/tower-hamlets/,62455,3159,4,4185.566938573565
Tower Hamlets,19.77,312273.0,15795.0,1.0,north_east,Tower Hamlets,Bethnal Green,F26,"11 Roman Road, E2 0HU",51.52791,-0.052074,https://www.london-fire.gov.uk/community/tower-hamlets/,62455,3159,4,5710.62499623298
Barking and Dagenham,36.09,218534.0,6055.0,0.0,north_east,Barking and Dagenham,Barking,F43,"Alfred's Way, IG11 0BB",51.52982,0.088809,https://www.london-fire.gov.uk/community/barking-and-dagenham/,109267,3028,18,15193.759829792516
Barking and Dagenham,36.09,218534.0,6055.0,0.0,north_east,Barking and Dagenham,Dagenham,F41,"70 Rainham Road North, Dagenham, RM10 7ES",51.559507,0.15678,https://www.london-fire.gov.uk/community/barking-and-dagenham/,109267,3028,18,20534.625316519363
Barnet,86.74,388639.0,4481.0,0.0,north_west,Barnet,Hendon,A40,"91 The Burroughs Hendon, NW4 4BL",51.58902,-0.22862,https://www.london-fire.gov.uk/community/barnet/,97160,1120,22,11488.851940500695
Barnet,86.74,388639.0,4481.0,0.0,north_west,Barnet,Finchley,A39,"227 Long Lane, N3 2RP",51.59798,-0.1791,https://www.london-fire.gov.uk/community/barnet/,97160,1120,22,10717.411375552641
Barnet,86.74,388639.0,4481.0,0.0,north_west,Barnet,Mill Hill,A38,"10 Hartley Avenue, NW7 2HX",51.61522,-0.24342,https://www.london-fire.gov.uk/community/barnet/,97160,1120,22,14457.554325991357
Barnet,86.74,388639.0,4481.0,0.0,north_west,Barnet,Barnet,A37,"144 Station Rd, Barnet EN5 1TE",51.64717,-0.18591,https://www.london-fire.gov.uk/community/barnet/,97160,1120,22,16095.505140908866
Bexley,60.56,246543.0,4071.0,0.0,south_east,Bexley,Sidcup,E40,"156 - 158 Main Road, DA14 6NZ",51.42706568,0.09456477,https://www.london-fire.gov.uk/community/bexley/,82181,1357,20,17781.077427293403
Bexley,60.56,246543.0,4071.0,0.0,south_east,Bexley,Bexley,E28,"172 Erith Road Bexleyheath, DA7 6BY",51.4610332,0.1536208,https://www.london-fire.gov.uk/community/bexley/,82181,1357,20,20139.756311024084
Bexley,60.56,246543.0,4071.0,0.0,south_east,Bexley,Erith,E27,"52 Erith Road Bexleyheath, DA17 6HR",51.48542163,0.15658503,https://www.london-fire.gov.uk/community/bexley/,82181,1357,20,19827.293499317268
Brent,43.24,338918.0,7838.0,0.0,north_west,Brent,Park Royal,G29,"Waxlow Road, NW10 7NU",51.53585,-0.26473,https://www.london-fire.gov.uk/community/brent/,112973,2613,14,10026.497376766112
Brent,43.24,338918.0,7838.0,0.0,north_west,Brent,Willesden,G28,"59a Pound Lane, NW10 2HH",51.54468,-0.23663,https://www.london-fire.gov.uk/community/brent/,112973,2613,14,8634.041435717692
Brent,43.24,338918.0,7838.0,0.0,north_west,Brent,Wembley ,G30,"591A Harrow Road, HA0 2EG",51.55191,-0.30396,https://www.london-fire.gov.uk/community/brent/,112973,2613,14,13197.496605286204
Bromley,150.15,329830.0,2197.0,0.0,south_east,Bromley,Biggin Hill,E42,"2 Kingsmead, TN16 3UB",51.31362132,0.03407686,https://www.london-fire.gov.uk/community/bromley/,82458,549,38,24279.01823237009
Bromley,150.15,329830.0,2197.0,0.0,south_east,Bromley,Orpington,E41,"Avalon Road, BR6 9AX",51.37216313,0.11087098,https://www.london-fire.gov.uk/community/bromley/,82458,549,38,22327.869024727424
Bromley,150.15,329830.0,2197.0,0.0,south_east,Bromley,Bromley,E39,"4 South Street Bromley Kent, BR1 1RH",51.4070394,0.01715567,https://www.london-fire.gov.uk/community/bromley/,82458,549,38,14989.379218231283
Bromley,150.15,329830.0,2197.0,0.0,south_east,Bromley,Beckenham,E43,"8 Beckenham Road, BR3 4LR",51.40804499,-0.0341093,https://www.london-fire.gov.uk/community/bromley/,82458,549,38,12792.281250373548
Croydon,86.52,390506.0,4513.0,0.0,south_east,Croydon,Purley,H29,"128 Brighton Road, CR8 4DB",51.33170045,-0.12504873,https://www.london-fire.gov.uk/community/croydon/,78101,903,17,19533.83792679669
Croydon,86.52,390506.0,4513.0,0.0,south_east,Croydon,Addington,H26,"197-199 Lodge Lane, CR0 0QA",51.35185047,-0.0239798,https://www.london-fire.gov.uk/community/croydon/,78101,903,17,18718.414261440117
Croydon,86.52,390506.0,4513.0,0.0,south_east,Croydon,Croydon,H31,"90 Old Town, CR10 1AR",51.36904316,-0.10502934,https://www.london-fire.gov.uk/community/croydon/,78101,903,17,15455.437048077774
Croydon,86.52,390506.0,4513.0,0.0,south_east,Croydon,Woodside,H28,"2 Long Lane Addiscombe Road Croydon, CR0 7AL",51.38585958,-0.06244946,https://www.london-fire.gov.uk/community/croydon/,78101,903,17,14237.086002083892
Croydon,86.52,390506.0,4513.0,0.0,south_east,Croydon,Norbury,H32,"1321/1325A London Road, SW16 4AU",51.40681223,-0.1212487,https://www.london-fire.gov.uk/community/croydon/,78101,903,17,11181.546872069297
Ealing,55.53,366127.0,6593.0,0.0,north_west,Ealing,Acton,G26,"27 Gunnersbury Lane, W3 8EA",51.50715,-0.27691,https://www.london-fire.gov.uk/community/ealing/,91532,1648,14,10349.6321961511
Ealing,55.53,366127.0,6593.0,0.0,north_west,Ealing,Southall,G24,"17 - 19 High Street, UB1 3HA",51.51144,-0.37448,https://www.london-fire.gov.uk/community/ealing/,91532,1648,14,17114.811924824804
Ealing,55.53,366127.0,6593.0,0.0,north_west,Ealing,Ealing,G25,"60-64 Uxbridge Road, W13 8RA",51.51217,-0.3137,https://www.london-fire.gov.uk/community/ealing/,91532,1648,14,12909.930286465415
Ealing,55.53,366127.0,6593.0,0.0,north_west,Ealing,Northolt,G31,"74 Petts Hill, UB5 4JT",51.55491,-0.35947,https://www.london-fire.gov.uk/community/ealing/,91532,1648,14,16923.24105510712
Enfield,80.84,329601.0,4077.0,0.0,north_west,Enfield,Edmonton,A34,"99 Church Street, N9 9AA",51.62735,-0.06927,https://www.london-fire.gov.uk/community/enfield/,109867,1359,27,13967.778520302167
Enfield,80.84,329601.0,4077.0,0.0,north_west,Enfield,Southgate,A36,"96 High Street, N14 6BN",51.6306,-0.12754,https://www.london-fire.gov.uk/community/enfield/,109867,1359,27,13734.420279492835
Enfield,80.84,329601.0,4077.0,0.0,north_west,Enfield,Enfield,A35,"93 Carterhatch Lane, EN1 4LA",51.660474,-0.051915,https://www.london-fire.gov.uk/community/enfield/,109867,1359,27,17844.784030425766
Haringey,29.59,264130.0,8926.0,0.0,north_west,Haringey,Hornsey,A32,"108 Park Avenue South, N8 8LS",51.58665,-0.12698,https://www.london-fire.gov.uk/community/haringey/,132065,4463,15,8842.858362850997
Haringey,29.59,264130.0,8926.0,0.0,north_west,Haringey,Tottenham,A33,"49 St Loys Road, N17 6UE",51.59264,-0.07164,https://www.london-fire.gov.uk/community/haringey/,132065,4463,15,10266.571281623117
Harrow,50.47,260987.0,5171.0,0.0,north_west,Harrow,Harrow,G21,"500 Pinner Road, HA5 5RW",51.59096,-0.36634,https://www.london-fire.gov.uk/community/harrow/,130494,2586,25,18990.194902322222
Harrow,50.47,260987.0,5171.0,0.0,north_west,Harrow,Stanmore,G22,"650 Honeypot Lane, HA7 1JS",51.60376,-0.29748,https://www.london-fire.gov.uk/community/harrow/,130494,2586,25,15941.767603186485
Havering,112.27,262022.0,2334.0,0.0,north_east,Havering,Wennington,F40,Wennington Road RM13 9EE,51.5064084,0.2204125,https://www.london-fire.gov.uk/community/havering/,65506,584,28,24100.059922961773
Havering,112.27,262022.0,2334.0,0.0,north_east,Havering,Hornchurch,F39,"42 North Street, RM11 1SH",51.564543,0.220518,https://www.london-fire.gov.uk/community/havering/,65506,584,28,24937.739838537014
Havering,112.27,262022.0,2334.0,0.0,north_east,Havering,Romford,F38,"198 Pettits Boulevard , RM1 4PL",51.593238,0.183295,https://www.london-fire.gov.uk/community/havering/,65506,584,28,23562.433272317823
Havering,112.27,262022.0,2334.0,0.0,north_east,Havering,Harold Hill,F57,"Units 7 - 9 Falcon Business Centre Ashton Road Romford, RM3 8UN",51.598285,0.2238306,https://www.london-fire.gov.uk/community/havering/,65506,584,28,26363.757828997197
Hillingdon,115.7,304792.0,2634.0,0.0,north_west,Hillingdon,Heathrow,G56,"Building 450, Heathrow airport Northern Perimetre Road, Longford, TW6 2RR",51.4803,-0.45864,https://www.london-fire.gov.uk/community/hillingdon/,76198,658,29,23132.635188371758
Hillingdon,115.7,304792.0,2634.0,0.0,north_west,Hillingdon,Hayes,G40,"65 Shepiston Lane , UB3 1LL",51.49459,-0.43159,https://www.london-fire.gov.uk/community/hillingdon/,76198,658,29,21111.019149492327
Hillingdon,115.7,304792.0,2634.0,0.0,north_west,Hillingdon,Hillingdon,G23,"Uxbridge Road, UB10 0PH",51.53228,-0.45221,https://www.london-fire.gov.uk/community/hillingdon/,76198,658,29,22665.210491894057
Hillingdon,115.7,304792.0,2634.0,0.0,north_west,Hillingdon,Ruislip,G32,"Bury Street, HA4 7TW",51.588423,-0.43649005,https://www.london-fire.gov.uk/community/hillingdon/,76198,658,29,23234.540806254172
Hounslow,55.99,287940.0,5143.0,0.0,north_west,Hounslow,Feltham,G39,"101 Faggs Road, NW1 0LH",51.46076,-0.41383,https://www.london-fire.gov.uk/community/hounslow/,95980,1714,19,20496.509403628635
Hounslow,55.99,287940.0,5143.0,0.0,north_west,Hounslow,Heston,G38,"520 London Road, Isleworth Middlesex, TW7 4HR",51.47492,-0.3431,https://www.london-fire.gov.uk/community/hounslow/,95980,1714,19,15360.683212352244
Hounslow,55.99,287940.0,5143.0,0.0,north_west,Hounslow,Chiswick,G37,"2-4 Heathfield Gardens, W4 4JY",51.49061,-0.26903,https://www.london-fire.gov.uk/community/hounslow/,95980,1714,19,9976.151735711266
Kingston upon Thames,37.25,167845.0,4506.0,0.0,south_west,Kingston upon Thames,Surbiton,H39,"31/33 Ewell Road Surbiton, Oakhill KT6 6AF",51.3922498,-0.3005909,https://www.london-fire.gov.uk/community/kingston-upon-thames/,55948,1502,12,17534.126772379575
Kingston upon Thames,37.25,167845.0,4506.0,0.0,south_west,Kingston upon Thames,New Malden,H40,"180 Burlington Road, KT3 4RW",51.3991327,-0.2479471,https://www.london-fire.gov.uk/community/kingston-upon-thames/,55948,1502,12,14638.373642315508
Kingston upon Thames,37.25,167845.0,4506.0,0.0,south_west,Kingston upon Thames,Kingston,H41,"390 Richmond Road, KT2 5PR",51.4293729,-0.3091976,https://www.london-fire.gov.uk/community/kingston-upon-thames/,55948,1502,12,15278.913526276203
Merton,37.61,215324.0,5725.0,0.0,south_west,Merton,Mitchem,H36,"421-445 London Rd, Mitcham CR4 4BJ",51.402038,-0.1558642,https://www.london-fire.gov.uk/community/merton/,107662,2862,19,11868.295116731952
Merton,37.61,215324.0,5725.0,0.0,south_west,Merton,Wimbledon,H34,"87 Kingston Rd, London SW19 1JN",51.4155428,-0.1975317,https://www.london-fire.gov.uk/community/merton/,107662,2862,19,11296.133801844093
Newham,36.22,350626.0,9680.0,0.0,north_east,Newham,Plaistow,F45,"145 Prince Regent Lane, E13 8SG",51.520068,0.031699,https://www.london-fire.gov.uk/community/newham/,116875,3227,12,11120.328820106488
Newham,36.22,350626.0,9680.0,0.0,north_east,Newham,East Ham,F44,"210 High Street South, E6 3RS",51.523548,0.056981,https://www.london-fire.gov.uk/community/newham/,116875,3227,12,12907.885584948115
Newham,36.22,350626.0,9680.0,0.0,north_east,Newham,Stratford,F21,"117 Romford Road, E15 4EH",51.54321,0.011631,https://www.london-fire.gov.uk/community/newham/,116875,3227,12,10437.757642722701
Redbridge,56.41,309836.0,5493.0,0.0,north_east,Redbridge,Ilford,F42,"460 High Road, IG1 1UE",51.562624,0.091493,https://www.london-fire.gov.uk/community/redbridge/,103279,1831,19,16375.923909334315
Redbridge,56.41,309836.0,5493.0,0.0,north_east,Redbridge,Hainault,F37,"368 - 388 New North Road, IG6 3DY",51.605945,0.10283,https://www.london-fire.gov.uk/community/redbridge/,103279,1831,19,19373.89533919592
Redbridge,56.41,309836.0,5493.0,0.0,north_east,Redbridge,Woodford,F35,"2 Snakes Lane, IG8 0BS",51.60883,0.026243,https://www.london-fire.gov.uk/community/redbridge/,103279,1831,19,15535.957097521175
Richmond upon Thames,57.41,195232.0,3401.0,0.0,south_west,Richmond upon Thames,Twickenham,H43,"30 South Rd, Twickenham TW2 5NT",51.4674071,-0.3199681,https://www.london-fire.gov.uk/community/richmond-upon-thames/,97616,1700,29,14048.66163547699
Richmond upon Thames,57.41,195232.0,3401.0,0.0,south_west,Richmond upon Thames,Richmond,H42,"323 Lower Richmond Rd., Richmond TW9 4PN",51.4674124,-0.2849489,https://www.london-fire.gov.uk/community/richmond-upon-thames/,97616,1700,29,11771.22733156341
Sutton,43.85,209517.0,4778.0,0.0,south_east,Sutton,Wallington,H37,"19 Belmont Road, SM6 8TE",51.36242334,-0.14837595,https://www.london-fire.gov.uk/community/sutton/,104758,2389,22,16178.399354451969
Sutton,43.85,209517.0,4778.0,0.0,south_east,Sutton,Sutton,H38,"43 St Dunstans Hill, SM1 2JX",51.36904525,-0.21119305,https://www.london-fire.gov.uk/community/sutton/,104758,2389,22,16433.216549540477
Waltham Forest,38.82,278050.0,7163.0,0.0,north_east,Waltham Forest,Leytonstone,F30,"466 High Street, E11 3HN",51.560346,0.0079829,https://www.london-fire.gov.uk/community/waltham-forest/,69512,1791,10,11093.48251146864
Waltham Forest,38.82,278050.0,7163.0,0.0,north_east,Waltham Forest,Leyton,F29,"90B Church Road, E10 5HG",51.564005,-0.017636,https://www.london-fire.gov.uk/community/waltham-forest/,69512,1791,10,9893.889438578515
Waltham Forest,38.82,278050.0,7163.0,0.0,north_east,Waltham Forest,Walthamstow,F36,"343 Forest Road, E17 5JR",51.58989,-0.027524,https://www.london-fire.gov.uk/community/waltham-forest/,69512,1791,10,11517.934541641036
Waltham Forest,38.82,278050.0,7163.0,0.0,north_east,Waltham Forest,Chingford,F34,"34 The Ridgeway, E4 6PP",51.63059,-0.003044,https://www.london-fire.gov.uk/community/waltham-forest/,69512,1791,10,16215.009079362111
City,2.9,8618.0,2972.0,1.0,north_east,City,Dowgate,A28,"94-95 Upper Thames Street, EC4R 3UE",51.510003,-0.090206,https://www.london-fire.gov.uk/community/the-city-of-london/,8618,2972,3,2602.1246575935143
Westminster,21.48,205087.0,9548.0,1.0,south_west,Westminster,Soho,A24,"126 Shaftesbury Ave, London W1D 5ET",51.512614,-0.1319784,https://www.london-fire.gov.uk/community/westminster/,102544,4774,11,677.7434404956789
Westminster,21.48,205087.0,9548.0,1.0,south_west,Westminster,Paddington,A21,"156 Harrow Rd, London W2 6NL",51.5202041,-0.183022,https://www.london-fire.gov.uk/community/westminster/,102544,4774,11,4109.333901321731
Wandsworth,34.26,328367.0,9585.0,1.0,south_west,Wandsworth,Wandsworth,H33,"45 West Hill, London SW18 1RL",51.4378592,-0.1802274,https://www.london-fire.gov.uk/community/wandsworth/,109456,3195,11,8538.269839100261
Wandsworth,34.26,328367.0,9585.0,1.0,south_west,Wandsworth,Tooting,H35,"89 Trinity Rd, Tooting Bec, London SW17 7SQ",51.4380528,-0.1654001,https://www.london-fire.gov.uk/community/wandsworth/,109456,3195,11,8131.550209914634
Wandsworth,34.26,328367.0,9585.0,1.0,south_west,Wandsworth,Battersea,H27,"11 Este Rd, London SW11 2TL",51.4671185,-0.1876668,https://www.london-fire.gov.uk/community/wandsworth/,109456,3195,11,6105.024929730367
