IncidentNumber,DateOfCall,CalYear,HourOfCall,IncGeo_BoroughName,Easting_rounded,Northing_rounded,AttendanceTime,DeployedFromStation,lat_cal,long_cal,lat_cal_r,long_cal_r,stat,lat,long,bor_sqkm,pop_per_stat,distance_stat,distance,AttendanceTimeClasses3
002776-06012023,2023-01-06,2023,19,SOUTHWARK,533650,176750,85.0,Peckham,inf,inf,51.47393443909604,-0.07702550234462802,Peckham,51.47405032,-0.07799246,28.85,102125.0,5037.216063725273,68.4101055267786,0-3min
152219-01102023,2023-10-01,2023,7,HACKNEY,533150,185550,311.0,Stoke Newington,inf,inf,51.55313257948656,-0.08089965163222446,Stoke Newington,51.562056,-0.07653,19.06,86652.0,7052.842221705138,1038.031990585788,3-6min
023959-17022023,2023-02-17,2023,5,HARINGEY,531550,190650,357.0,Tottenham,51.59952548582135,-0.10139774562367139,51.59933828761847,-0.10205532475993463,Tottenham,51.59264,-0.07164,29.59,132065.0,10266.571281623115,2198.0391873182834,3-6min
058148-27042023,2023-04-27,2023,11,REDBRIDGE,541050,190150,460.0,Leytonstone,inf,inf,51.592548775073496,0.034816412705997876,Leytonstone,51.560346,0.0079829,38.82,69512.0,11093.48251146864,4036.987276530309,6-9min
197300-16122023,2023-12-16,2023,0,LAMBETH,530750,172550,416.0,Brixton,inf,inf,51.43686735862997,-0.12030797534211464,Brixton,51.4634153,-0.1119599,26.82,63500.0,4990.712567649768,3010.112227947878,6-9min
071052-21052023,2023-05-21,2023,4,SOUTHWARK,533650,178750,261.0,Old Kent Road,inf,inf,51.49190727988594,-0.0762692810398836,Old Kent Road,51.48695786,-0.07366975,28.85,102125.0,4356.591980686375,579.5059808230628,3-6min
192434-07122023,2023-12-07,2023,21,BARNET,525850,191350,231.0,Finchley,inf,inf,51.60693025468698,-0.1840564000844184,Finchley,51.59798,-0.1791,86.74,97160.0,10717.41137555264,1053.3517484785548,3-6min
204396-28122023,2023-12-28,2023,20,WESTMINSTER,529250,180950,390.0,Euston,51.51264110422376,-0.13849124239177005,51.5127000528871,-0.1388059004068471,Euston,51.52776,-0.13079,21.8,70130.0,2299.648379802561,1764.304458658533,6-9min
011159-23012023,2023-01-23,2023,12,REDBRIDGE,540850,191250,464.0,Chingford,51.60223062761062,0.03292430991898204,51.60248298622277,0.03237239740575095,Chingford,51.63059,-0.003044,38.82,69512.0,16215.009079362111,4021.649639619935,6-9min
071266-21052023,2023-05-21,2023,14,WESTMINSTER,527950,181050,379.0,Euston,51.5140515879323,-0.15719852611451707,51.51389435125232,-0.15749311592803295,Euston,51.52776,-0.13079,21.8,70130.0,2299.648379802561,2382.006119498239,6-9min
135478-04092023,2023-09-04,2023,21,HACKNEY,535950,184750,190.0,Homerton,inf,inf,51.54527653344163,-0.04084775733814514,Homerton,51.548634,-0.043184,19.06,86652.0,7441.716420234339,407.18812201952016,3-6min
180743-17112023,2023-11-17,2023,23,CROYDON,537950,163850,291.0,Addington,inf,inf,51.356981188265706,-0.020166053861881632,Addington,51.35185047,-0.0239798,86.52,78101.0,18718.41426144012,629.6148582281172,3-6min
034961-11032023,2023-03-11,2023,13,WESTMINSTER,525250,181450,236.0,North Kensington,inf,inf,51.51809359618237,-0.19624010673972947,North Kensington,51.5218389,-0.2148304,12.13,47980.0,6264.950872916909,1355.9692075248397,3-6min
039511-20032023,2023-03-20,2023,15,SOUTHWARK,534350,176950,336.0,Peckham,inf,inf,51.47556607776663,-0.06687668857848596,Peckham,51.47405032,-0.07799246,28.85,102125.0,5037.216063725273,790.507753944923,3-6min
053486-17042023,2023-04-17,2023,21,CITY OF LONDON,533750,181050,277.0,Shadwell,inf,inf,51.51255232633013,-0.0739584598559281,Shadwell,51.510868,-0.055828,19.77,62455.0,4981.476274561277,1272.5393895384357,3-6min
052466-15042023,2023-04-15,2023,21,HAMMERSMITH AND FULHAM,524850,177650,339.0,Hammersmith,inf,inf,51.48403132713108,-0.20334557376282064,Hammersmith,51.4961116,-0.2242032,16.4,91648.0,6811.369293067246,1976.1244587420629,3-6min
