IncidentNumber,DateOfCall,CalYear,HourOfCall,IncGeo_BoroughName,Easting_rounded,Northing_rounded,AttendanceTime,DeployedFromStation,lat_cal,long_cal,lat_cal_r,long_cal_r,stat,lat,long,bor_sqkm,pop_per_stat,distance_stat,distance,AttendanceTimeClasses3
038967-19032023,2023-03-19,2023,14,BARNET,521250,193850,416.0,Mill Hill,51.63053528027556,-0.2491894477017163,51.6304062879301,-0.24958453618004894,Mill Hill,51.61522,-0.24342,86.74,97160.0,14457.554325991356,1750.7278056097293,6-9min
108007-19072023,2023-07-19,2023,10,WESTMINSTER,527250,182250,498.0,Paddington,inf,inf,51.52483649586213,-0.16714241498588542,Paddington,51.5202041,-0.183022,21.48,102544.0,4109.333901321731,1216.69573940418,6-9min
133862-02092023,2023-09-02,2023,10,HAMMERSMITH AND FULHAM,525650,175650,295.0,Fulham,inf,inf,51.46588028448883,-0.19254100158171772,Fulham,51.4779579,-0.2010297,16.4,91648.0,6044.457462088725,1467.474315083683,3-6min
056533-24042023,2023-04-24,2023,8,CROYDON,531850,165250,425.0,Croydon,inf,inf,51.37100978003191,-0.1072023333964102,Croydon,51.36904316,-0.10502934,86.52,78101.0,15455.437048077774,266.0275515381087,6-9min
115770-01082023,2023-08-01,2023,19,WESTMINSTER,529250,180950,246.0,Soho,51.51300955872029,-0.13847622209911703,51.5127000528871,-0.1388059004068471,Soho,51.512614,-0.1319784,21.48,102544.0,677.7434404956789,451.50144001835315,3-6min
073337-25052023,2023-05-25,2023,13,GREENWICH,540550,178450,42.0,East Greenwich,51.48751377458952,0.022891072571153966,51.48753998726572,0.022935445522754033,East Greenwich,51.48690404,0.02230543,47.35,57851.0,10620.047076587329,80.26324561752422,0-3min
055974-22042023,2023-04-22,2023,23,CAMDEN,529250,182150,214.0,Soho,51.52332506109719,-0.13854569138357054,51.5234840778135,-0.1383662234117405,Soho,51.512614,-0.1319784,21.48,102544.0,677.7434404956789,1275.4563574720962,3-6min
120055-09082023,2023-08-09,2023,16,HOUNSLOW,510950,176750,398.0,Heston,51.47869572976435,-0.40391431078699774,51.47883699089682,-0.40372217036281244,Heston,51.47492,-0.3431,55.99,95980.0,15360.683212352244,4244.284971617642,6-9min
102003-09072023,2023-07-09,2023,9,SOUTHWARK,532150,179650,297.0,Dowgate,inf,inf,51.5003473900185,-0.09752598152142167,Dowgate,51.510003,-0.090206,2.9,8618.0,2602.1246575935143,1188.4254893176742,3-6min
084144-11062023,2023-06-11,2023,15,WESTMINSTER,529850,181150,140.0,Soho,51.51412929898318,-0.1297255277706421,51.514359935993404,-0.1300908035119737,Soho,51.512614,-0.1319784,21.48,102544.0,677.7434404956789,232.17395359407928,0-3min
132483-30082023,2023-08-30,2023,21,HILLINGDON,506950,179550,322.0,Hayes,51.5048141173756,-0.4607959583601895,51.504773628190506,-0.46045151075283175,Hayes,51.49459,-0.43159,115.7,76198.0,21111.019149492327,2323.953352319541,3-6min
070350-19052023,2023-05-19,2023,22,HOUNSLOW,513850,175850,190.0,Heston,51.470104179339344,-0.36189836532656033,51.47017232061842,-0.3622702747070261,Heston,51.47492,-0.3431,55.99,95980.0,15360.683212352244,1409.892955270062,3-6min
098743-03072023,2023-07-03,2023,23,BARNET,526650,191250,266.0,Finchley,51.605624801170926,-0.17236777717988502,51.60585239039751,-0.17254637478353085,Finchley,51.59798,-0.1791,86.74,97160.0,10717.41137555264,971.5222272417923,3-6min
100259-06072023,2023-07-06,2023,17,HARROW,518150,190650,142.0,Stanmore,inf,inf,51.602305810370304,-0.29542932042543146,Stanmore,51.60376,-0.29748,50.47,130494.0,15941.767603186485,215.32149523089302,0-3min
023212-15022023,2023-02-15,2023,16,EALING,515850,182450,479.0,Southall,51.529168253009495,-0.33146498024487764,51.5290853150911,-0.3313238451983155,Southall,51.51144,-0.37448,55.53,91532.0,17114.811924824804,3580.3726022067412,6-9min
166433-25102023,2023-10-25,2023,0,WALTHAM FOREST,537650,188950,413.0,Walthamstow,inf,inf,51.5826058853668,-0.014704366154575377,Walthamstow,51.58989,-0.027524,38.82,69512.0,11517.934541641036,1202.6057749508066,6-9min
027926-25022023,2023-02-25,2023,9,KENSINGTON AND CHELSEA,527850,179550,325.0,Chelsea,51.500132382992795,-0.1601373383098705,51.500436754862704,-0.15947672225631354,Chelsea,51.4871072,-0.1728153,12.13,47980.0,3854.144421682529,1696.6755356255157,3-6min
048653-08042023,2023-04-08,2023,5,LAMBETH,531150,172350,129.0,West Norwood,inf,inf,51.43497764772314,-0.11463058083655302,West Norwood,51.4258523,-0.1109787,26.82,63500.0,9126.040714912837,1046.539216787969,0-3min
144787-18092023,2023-09-18,2023,21,HAMMERSMITH AND FULHAM,522950,179450,235.0,Hammersmith,51.50052080923143,-0.23037471414044655,51.50062409221346,-0.23006814779246587,Hammersmith,51.4961116,-0.2242032,16.4,91648.0,6811.369293067246,650.4248029079007,3-6min
182053-20112023,2023-11-20,2023,12,WESTMINSTER,529350,180350,227.0,Soho,51.50744281665623,-0.13731973992737098,51.507285172648416,-0.13758555200949424,Soho,51.512614,-0.1319784,21.48,102544.0,677.7434404956789,682.9288065126144,3-6min
149721-27092023,2023-09-27,2023,8,ENFIELD,533250,192250,645.0,Edmonton,51.61297105744366,-0.07665794856831984,51.61331702707305,-0.0769177565219488,Edmonton,51.62735,-0.06927,80.84,109867.0,13967.778520302169,1678.5942607917711,9-12min
075010-28052023,2023-05-28,2023,4,LAMBETH,531450,175550,126.0,Brixton,inf,inf,51.46366545203489,-0.10912949792192832,Brixton,51.4634153,-0.1119599,26.82,63500.0,4990.712567649768,198.6605225609065,0-3min
107826-18072023,2023-07-18,2023,23,BEXLEY,547450,170950,248.0,Sidcup,51.41855948099747,0.11843787365140677,51.41839425655429,0.11912060145071333,Sidcup,51.42706568,0.09456477,60.56,82181.0,17781.077427293403,1913.493122601667,3-6min
104998-14072023,2023-07-14,2023,9,KINGSTON UPON THAMES,519750,170450,377.0,Kingston,51.42073330779911,-0.2794827561618361,51.42042330024339,-0.2791923634320874,Kingston,51.4293729,-0.3091976,37.25,55948.0,15278.913526276205,2280.7840772680966,6-9min
146536-21092023,2023-09-21,2023,15,ENFIELD,535050,194050,510.0,Edmonton,inf,inf,51.62906342964459,-0.05024390152494151,Edmonton,51.62735,-0.06927,80.84,109867.0,13967.778520302169,1331.1928529970241,6-9min
036071-13032023,2023-03-13,2023,15,TOWER HAMLETS,537450,178650,247.0,Millwall,inf,inf,51.49009851583327,-0.021606792777783747,Millwall,51.500806,-0.025725,19.77,62455.0,7085.781804491156,1225.1402262580964,3-6min
172366-04112023,2023-11-04,2023,11,BEXLEY,551350,176650,443.0,Erith,inf,inf,51.468582197118536,0.17759965929825566,Erith,51.48542163,0.15658503,60.56,82181.0,19827.293499317268,2375.215371722481,6-9min
048143-07042023,2023-04-07,2023,10,EALING,513450,179250,264.0,Southall,inf,inf,51.5008112117994,-0.3669353231257779,Southall,51.51144,-0.37448,55.53,91532.0,17114.811924824804,1293.3670725865184,3-6min
076127-29052023,2023-05-29,2023,19,HACKNEY,533650,185650,283.0,Stoke Newington,51.55350753363436,-0.07414744916711571,51.553913093850305,-0.07365429344909843,Stoke Newington,51.562056,-0.07653,19.06,86652.0,7052.842221705138,965.2535456314826,3-6min
001980-05012023,2023-01-05,2023,1,REDBRIDGE,539550,190350,667.0,Woodford,51.59498467557943,0.012979175663693023,51.59471913888586,0.013256197244249588,Woodford,51.60883,0.026243,56.41,103279.0,15535.957097521175,1792.2798956837948,9-12min
086966-15062023,2023-06-15,2023,14,KENSINGTON AND CHELSEA,526050,177950,328.0,Chelsea,inf,inf,51.486461503434036,-0.18596586916877553,Chelsea,51.4871072,-0.1728153,12.13,47980.0,3854.144421682529,916.26694732394,3-6min
116102-02082023,2023-08-02,2023,13,RICHMOND UPON THAMES,522350,176950,483.0,Wandsworth,inf,inf,51.47828608206551,-0.23957349872209655,Wandsworth,51.4378592,-0.1802274,34.26,109456.0,8538.269839100261,6102.78480623198,6-9min
130454-27082023,2023-08-27,2023,11,KINGSTON UPON THAMES,520750,167050,273.0,New Malden,inf,inf,51.38965391877281,-0.2659740286681278,New Malden,51.3991327,-0.2479471,37.25,55948.0,14638.373642315508,1639.0132519726872,3-6min
160315-14102023,2023-10-14,2023,16,ENFIELD,536450,196250,347.0,Enfield,51.6480996155621,-0.029725059712803658,51.64849501203163,-0.02917307526292527,Enfield,51.660474,-0.051915,80.84,109867.0,17844.784030425766,2063.568092094194,3-6min
088826-18062023,2023-06-18,2023,9,BARNET,521150,191050,265.0,Mill Hill,inf,inf,51.60526394977868,-0.2519957364903407,Mill Hill,51.61522,-0.24342,86.74,97160.0,14457.554325991356,1256.9544383905481,3-6min
044542-31032023,2023-03-31,2023,4,BRENT,520550,183050,197.0,Park Royal,51.533511114974374,-0.2632813000420214,51.53349484697288,-0.26339726490970616,Park Royal,51.53585,-0.26473,43.24,112973.0,10026.497376766112,279.3866356811646,3-6min
113143-28072023,2023-07-28,2023,5,BRENT,521550,185350,338.0,Willesden,51.55440232488394,-0.24889752149913666,51.55395119338142,-0.2481936105276243,Willesden,51.54468,-0.23663,43.24,112973.0,8634.041435717692,1375.8117392943584,3-6min
148634-25092023,2023-09-25,2023,10,HAMMERSMITH AND FULHAM,524850,177750,325.0,Hammersmith,inf,inf,51.484930033515944,-0.20331025063244723,Hammersmith,51.4961116,-0.2242032,16.4,91648.0,6811.369293067246,1911.3781713825672,3-6min
088255-17062023,2023-06-17,2023,13,CROYDON,531450,170550,681.0,Tooting,51.4187185831727,-0.11125827294830344,51.41873215525816,-0.11098444933998411,Tooting,51.4380528,-0.1654001,34.26,109456.0,8131.550209914634,4338.482625237797,9-12min
165812-23102023,2023-10-23,2023,20,BARKING AND DAGENHAM,543650,184550,316.0,Barking,inf,inf,51.54157373257956,0.07003712042450452,Barking,51.52982,0.088809,36.09,109267.0,15193.759829792516,1845.703132300998,3-6min
133204-01092023,2023-09-01,2023,7,BARKING AND DAGENHAM,549250,187050,231.0,Dagenham,51.562827461810826,0.15129529596249455,51.56258459817007,0.15178882000166216,Dagenham,51.559507,0.15678,36.09,109267.0,20534.625316519363,528.9234812772614,3-6min
108452-20072023,2023-07-20,2023,2,HILLINGDON,511550,186350,475.0,Northolt,inf,inf,51.56500289201192,-0.3920497957806523,Northolt,51.55491,-0.35947,55.53,91532.0,16923.24105510712,2523.05264420697,6-9min
018693-06022023,2023-02-06,2023,19,WANDSWORTH,522150,173550,435.0,Wandsworth,inf,inf,51.447772474625665,-0.24362555101077896,Wandsworth,51.4378592,-0.1802274,34.26,109456.0,8538.269839100261,4543.795441400289,6-9min
169054-29102023,2023-10-29,2023,16,NEWHAM,541450,183350,368.0,East Ham,inf,inf,51.53134602672526,0.0378531999316053,East Ham,51.523548,0.056981,36.22,116875.0,12907.885584948115,1585.8234252822124,6-9min
111183-24072023,2023-07-24,2023,20,HAVERING,550550,191550,207.0,Romford,51.60277779720729,0.17253418499576642,51.60267131462234,0.1724568968377848,Romford,51.593238,0.183295,112.27,65506.0,23562.433272317823,1296.5710695554026,3-6min
159534-13102023,2023-10-13,2023,12,BARNET,520650,192850,334.0,Mill Hill,51.62158783499488,-0.25885162170030945,51.62154803191307,-0.25859311486529774,Mill Hill,51.61522,-0.24342,86.74,97160.0,14457.554325991356,1280.5923453268208,3-6min
035487-12032023,2023-03-12,2023,13,HILLINGDON,508650,177750,218.0,Hayes,inf,inf,51.488271100289865,-0.43652120127495847,Hayes,51.49459,-0.43159,115.7,76198.0,21111.019149492327,782.0131803771943,3-6min
018435-06022023,2023-02-06,2023,11,BARNET,519350,191950,359.0,Stanmore,inf,inf,51.613736445889806,-0.2776688197540819,Stanmore,51.60376,-0.29748,50.47,130494.0,15941.767603186485,1765.104637186227,3-6min
120364-10082023,2023-08-10,2023,1,WESTMINSTER,526750,179650,208.0,Kensington,51.50187864078635,-0.17463389913216643,51.50158294566612,-0.17527967913022408,Kensington,51.5028,-0.1904,12.13,47980.0,4384.517983460514,1101.2033684313587,3-6min
164706-21102023,2023-10-21,2023,21,HARINGEY,533650,189650,153.0,Tottenham,inf,inf,51.589858147624795,-0.07213406900919914,Tottenham,51.59264,-0.07164,29.59,132065.0,10266.571281623115,311.39587304837863,0-3min
144933-19092023,2023-09-19,2023,5,GREENWICH,546250,180750,391.0,Plumstead,51.50665285628357,0.1065117540702795,51.506762298277984,0.10592597287500463,Plumstead,51.48742785,0.09135732,47.35,57851.0,15319.13487631769,2385.5149408324546,6-9min
050957-12042023,2023-04-12,2023,23,WESTMINSTER,524750,182750,317.0,North Kensington,inf,inf,51.52988723480855,-0.20298260659726566,North Kensington,51.5218389,-0.2148304,12.13,47980.0,6264.950872916909,1215.6962523627253,3-6min
096358-29062023,2023-06-29,2023,23,LEWISHAM,535850,172450,521.0,Lewisham,inf,inf,51.43476984852706,-0.04701826866556785,Lewisham,51.45686739,-0.01361552,35.15,74952.0,9675.507202337956,3381.8768821490453,6-9min
057588-26042023,2023-04-26,2023,10,KENSINGTON AND CHELSEA,524950,179050,289.0,Kensington,inf,inf,51.49659112982274,-0.20141108474676983,Kensington,51.5028,-0.1904,12.13,47980.0,4384.517983460514,1030.4508712952106,3-6min
116616-03082023,2023-08-03,2023,9,HAMMERSMITH AND FULHAM,525550,177250,224.0,Fulham,51.47987019805183,-0.1929672742360435,51.48028171068967,-0.19341185843238254,Fulham,51.4779579,-0.2010297,16.4,91648.0,6044.457462088725,601.9906853619842,3-6min
032131-05032023,2023-03-05,2023,18,GREENWICH,543050,178950,233.0,Plumstead,inf,inf,51.491406508360186,0.05912034070112702,Plumstead,51.48742785,0.09135732,47.35,57851.0,15319.13487631769,2282.407255016567,3-6min
164767-21102023,2023-10-21,2023,23,HILLINGDON,510250,180650,403.0,Hayes,inf,inf,51.51402698193403,-0.4125807022949515,Hayes,51.49459,-0.43159,115.7,76198.0,21111.019149492327,2533.4949461228193,6-9min
170223-31102023,2023-10-31,2023,18,MERTON,524750,168650,287.0,Wimbledon,inf,inf,51.4031690952816,-0.20795404481533616,Wimbledon,51.4155428,-0.1975317,37.61,107662.0,11296.133801844093,1555.967220949119,3-6min
132283-30082023,2023-08-30,2023,16,WESTMINSTER,528150,178450,410.0,Lambeth,51.49024989308828,-0.15500379619466748,51.4904833952639,-0.1555561576423775,Lambeth,51.4634153,-0.1215096,26.82,63500.0,4890.8718638849405,3784.770647487191,6-9min
131406-29082023,2023-08-29,2023,8,WESTMINSTER,527150,181650,239.0,Paddington,51.51913797367629,-0.16846665308437012,51.51946689759361,-0.1687993921074878,Paddington,51.5202041,-0.183022,21.48,102544.0,4109.333901321731,1018.9340575471111,3-6min
187233-29112023,2023-11-29,2023,8,BARKING AND DAGENHAM,548750,186150,375.0,Dagenham,inf,inf,51.5546300139161,0.1442004965961105,Dagenham,51.559507,0.15678,36.09,109267.0,20534.625316519363,1027.4083470639612,6-9min
079570-04062023,2023-06-04,2023,17,LEWISHAM,538150,174650,153.0,Lewisham,inf,inf,51.45398371050601,-0.013093140999303277,Lewisham,51.45686739,-0.01361552,35.15,74952.0,9675.507202337956,322.8776019974512,0-3min
169963-31102023,2023-10-31,2023,10,BROMLEY,540550,166050,477.0,Bromley,inf,inf,51.37611390644459,0.018019163305952452,Bromley,51.4070394,0.01715567,150.15,82458.0,14989.379218231285,3441.164349674128,6-9min
095171-27062023,2023-06-27,2023,23,CAMDEN,530750,182250,256.0,Soho,inf,inf,51.524037791150064,-0.11672043665698417,Soho,51.512614,-0.1319784,21.48,102544.0,677.7434404956789,1654.4184059066074,3-6min
151410-29092023,2023-09-29,2023,22,KINGSTON UPON THAMES,518350,169550,202.0,Kingston,51.41252050343045,-0.3002539074738478,51.41262816966441,-0.2996171911123086,Kingston,51.4293729,-0.3091976,37.25,55948.0,15278.913526276205,1975.9688245855557,3-6min
042980-27032023,2023-03-27,2023,21,NEWHAM,542350,185750,255.0,Ilford,inf,inf,51.55268555877563,0.051789206988074175,Ilford,51.562624,0.091493,56.41,103279.0,16375.923909334317,2967.291518499465,3-6min
202693-25122023,2023-12-25,2023,15,WANDSWORTH,524950,174950,140.0,Wandsworth,inf,inf,51.45974415219885,-0.20285996695110092,Wandsworth,51.4378592,-0.1802274,34.26,109456.0,8538.269839100261,2898.968043486203,0-3min
153567-03102023,2023-10-03,2023,17,NEWHAM,539750,184650,181.0,Stratford,51.54340730647215,0.01325469837991464,51.54345058510057,0.013876749525784786,Stratford,51.54321,0.011631,36.22,116875.0,10437.7576427227,117.21922251242523,3-6min
055669-22042023,2023-04-22,2023,13,TOWER HAMLETS,534750,181050,383.0,Poplar,inf,inf,51.512314933572426,-0.05955659283660973,Poplar,51.51088,-0.015706,19.77,62455.0,7754.7944072924065,3048.418180389352,6-9min
156579-08102023,2023-10-08,2023,20,WALTHAM FOREST,536450,189750,200.0,Walthamstow,51.589915546369525,-0.031175367684320898,51.59008624808627,-0.031702139873665915,Walthamstow,51.58989,-0.027524,38.82,69512.0,11517.934541641036,250.99677768529745,3-6min
067071-13052023,2023-05-13,2023,20,HOUNSLOW,510750,177750,385.0,Feltham,51.48761581264024,-0.4065411796840765,51.487864151093696,-0.40628766184163345,Feltham,51.46076,-0.41383,55.99,95980.0,20496.509403628635,3031.6095395942843,6-9min
023328-15022023,2023-02-15,2023,20,WANDSWORTH,527550,171750,196.0,Tooting,inf,inf,51.43040662023184,-0.16660813238874986,Tooting,51.4380528,-0.1654001,34.26,109456.0,8131.550209914634,854.825668284066,3-6min
131605-29082023,2023-08-29,2023,14,CAMDEN,529750,182750,163.0,Euston,inf,inf,51.528761520712585,-0.13094248143914464,Euston,51.52776,-0.13079,21.8,70130.0,2299.648379802561,111.92889492380851,0-3min
042803-27032023,2023-03-27,2023,15,EALING,517650,181650,386.0,Acton,51.52159834673721,-0.3058534642475545,51.52152353369545,-0.3056544394557966,Acton,51.50715,-0.27691,55.53,91532.0,10349.6321961511,2571.968788066515,6-9min
120001-09082023,2023-08-09,2023,15,HOUNSLOW,508950,172550,425.0,Feltham,51.44150623759289,-0.43411847213686083,51.44147504634826,-0.43380298245393667,Feltham,51.46076,-0.41383,55.99,95980.0,20496.509403628635,2563.0289714368027,6-9min
063564-07052023,2023-05-07,2023,7,WANDSWORTH,527550,175650,179.0,Battersea,51.465460371404774,-0.16492994876653247,51.46545566288888,-0.16520367913841152,Battersea,51.4671185,-0.1876668,34.26,109456.0,6105.024929730367,1592.4689874040462,0-3min
104709-13072023,2023-07-13,2023,20,EALING,515750,182250,345.0,Ealing,51.5269326428535,-0.3329738906316881,51.52730827978479,-0.332830426238283,Ealing,51.51217,-0.3137,55.53,91532.0,12909.930286465416,2117.31225410606,3-6min
139395-10092023,2023-09-10,2023,8,BEXLEY,552050,177450,342.0,Erith,inf,inf,51.47558266279257,0.18801363957314682,Erith,51.48542163,0.15658503,60.56,82181.0,19827.293499317268,2442.3952113792493,3-6min
126411-20082023,2023-08-20,2023,15,TOWER HAMLETS,535050,180950,440.0,Dowgate,51.511491390566285,-0.0554410367072253,51.511344744881555,-0.05527434226827719,Dowgate,51.510003,-0.090206,2.9,8618.0,2602.1246575935143,2421.5911983064907,6-9min
174074-06112023,2023-11-06,2023,18,HARROW,512950,185450,211.0,Northolt,inf,inf,51.55663555640161,-0.37214940812314534,Northolt,51.55491,-0.35947,55.53,91532.0,16923.24105510712,900.1020316849326,3-6min
200593-21122023,2023-12-21,2023,19,WALTHAM FOREST,539750,192250,211.0,Woodford,inf,inf,51.611742495324705,0.01689807884789648,Woodford,51.60883,0.026243,56.41,103279.0,15535.957097521175,723.9232856254159,3-6min
089409-19062023,2023-06-19,2023,12,ENFIELD,529350,192450,259.0,Finchley,51.616334129553366,-0.13347144365231275,51.61602307907305,-0.1331375348031768,Finchley,51.59798,-0.1791,86.74,97160.0,10717.41137555264,3765.7269080984224,3-6min
117495-04082023,2023-08-04,2023,19,LAMBETH,531850,171750,504.0,Norbury,inf,inf,51.42942333998523,-0.10478925357730474,Norbury,51.40681223,-0.1212487,86.52,78101.0,11181.546872069295,2763.9476632488495,6-9min
048110-07042023,2023-04-07,2023,8,HILLINGDON,505150,175850,303.0,Heathrow,51.471678842446714,-0.4878283766440166,51.4718541552207,-0.4874770187896488,Heathrow,51.4803,-0.45864,115.7,76198.0,23132.63518837176,2242.04680142363,3-6min
139715-10092023,2023-09-10,2023,17,HOUNSLOW,516450,176250,222.0,Heston,51.47367408728257,-0.3243469660727392,51.47323883291627,-0.32472289136394855,Heston,51.47492,-0.3431,55.99,95980.0,15360.683212352244,1312.542322964005,3-6min
046726-04042023,2023-04-04,2023,14,HACKNEY,534850,186750,322.0,Stoke Newington,inf,inf,51.56351261754715,-0.05593491774988662,Stoke Newington,51.562056,-0.07653,19.06,86652.0,7052.842221705138,1437.3328662435558,3-6min
078368-02062023,2023-06-02,2023,16,KINGSTON UPON THAMES,518750,168050,176.0,Surbiton,inf,inf,51.39906319002455,-0.2943699315124784,Surbiton,51.3922498,-0.3005909,37.25,55948.0,17534.126772379575,872.9686433585757,0-3min
146631-21092023,2023-09-21,2023,18,BROMLEY,534550,170350,451.0,Woodside,inf,inf,51.416208236642156,-0.06650562927565833,Woodside,51.38585958,-0.06244946,86.52,78101.0,14237.086002083892,3388.2468721104374,6-9min
158732-12102023,2023-10-12,2023,9,LEWISHAM,535550,171250,452.0,Beckenham,inf,inf,51.42405799366933,-0.0517902284725179,Beckenham,51.40804499,-0.0341093,150.15,82458.0,12792.281250373548,2164.919025403242,6-9min
096345-29062023,2023-06-29,2023,22,ENFIELD,534750,192350,291.0,Edmonton,51.61358706076932,-0.05564483623738246,51.61385893488265,-0.05522878350383793,Edmonton,51.62735,-0.06927,80.84,109867.0,13967.778520302169,1799.4429516319087,3-6min
005926-13012023,2023-01-13,2023,17,SUTTON,523150,164950,329.0,Sutton,inf,inf,51.370265201980416,-0.2322260801944773,Sutton,51.36904525,-0.21119305,43.85,104758.0,16433.216549540477,1470.981982467457,3-6min
119819-09082023,2023-08-09,2023,8,WESTMINSTER,529550,178450,308.0,Lambeth,inf,inf,51.49016467239968,-0.13540238131421678,Lambeth,51.4634153,-0.1215096,26.82,63500.0,4890.8718638849405,3128.6736753963987,3-6min
075246-28052023,2023-05-28,2023,15,CROYDON,534350,168850,358.0,Woodside,inf,inf,51.40277587833173,-0.06994768750634575,Woodside,51.38585958,-0.06244946,86.52,78101.0,14237.086002083892,1953.055235403753,3-6min
146197-21092023,2023-09-21,2023,1,SOUTHWARK,534450,176050,247.0,Peckham,inf,inf,51.46745460144665,-0.06577977643654491,Peckham,51.47405032,-0.07799246,28.85,102125.0,5037.216063725273,1121.878962711356,3-6min
155176-06102023,2023-10-06,2023,12,KENSINGTON AND CHELSEA,524750,180850,218.0,North Kensington,inf,inf,51.51281192160596,-0.20365463525587263,North Kensington,51.5218389,-0.2148304,12.13,47980.0,6264.950872916909,1269.0417955233172,3-6min
195452-12122023,2023-12-12,2023,20,CAMDEN,529350,184250,347.0,Euston,inf,inf,51.54233317911863,-0.1361549410786656,Euston,51.52776,-0.13079,21.8,70130.0,2299.648379802561,1663.575114132459,3-6min
139337-10092023,2023-09-10,2023,4,SOUTHWARK,532450,177350,291.0,Peckham,inf,inf,51.47960829040319,-0.09406868588950117,Peckham,51.47405032,-0.07799246,28.85,102125.0,5037.216063725273,1276.6588412399635,3-6min
020884-11022023,2023-02-11,2023,7,RICHMOND UPON THAMES,518250,174750,474.0,Kingston,inf,inf,51.459384547038134,-0.2993196396377911,Kingston,51.4293729,-0.3091976,37.25,55948.0,15278.913526276205,3408.8943519158765,6-9min
097160-01072023,2023-07-01,2023,13,HAMMERSMITH AND FULHAM,522250,178850,252.0,Chiswick,inf,inf,51.49538344099507,-0.24035550757599178,Chiswick,51.49061,-0.26903,55.99,95980.0,9976.151735711266,2061.074394164494,3-6min
004943-11012023,2023-01-11,2023,13,HACKNEY,531850,186850,325.0,Holloway,51.5649692899375,-0.0992881821073068,51.56511995676208,-0.09915204215871744,Holloway,51.561766,-0.116461,14.86,108384.0,6121.146116041655,1245.3604317287866,3-6min
194755-11122023,2023-12-11,2023,16,WANDSWORTH,527150,171450,529.0,Tooting,51.427604613281524,-0.17317915579157078,51.42780033287273,-0.17246648193240707,Tooting,51.4380528,-0.1654001,34.26,109456.0,8131.550209914634,1281.429477603596,6-9min
204270-28122023,2023-12-28,2023,16,BARNET,520350,191350,291.0,Mill Hill,51.607828256086165,-0.26360952644856317,51.60813147103817,-0.2634390971517283,Mill Hill,51.61522,-0.24342,86.74,97160.0,14457.554325991356,1620.075731168684,3-6min
003254-07012023,2023-01-07,2023,19,BARKING AND DAGENHAM,548450,187150,184.0,Dagenham,inf,inf,51.5636940626548,0.14029835267069388,Dagenham,51.559507,0.15678,36.09,109267.0,20534.625316519363,1234.2409388744952,3-6min
005292-12012023,2023-01-12,2023,7,GREENWICH,537450,177650,304.0,Deptford,inf,inf,51.481112392843954,-0.0219957202099624,Deptford,51.48489956,-0.03380805,35.15,74952.0,6948.464184782571,922.4175065751381,3-6min
204548-29122023,2023-12-29,2023,8,CITY OF LONDON,532050,181750,331.0,Dowgate,51.518987484667825,-0.09798889947456019,51.519242375978315,-0.09818007612006105,Dowgate,51.510003,-0.090206,2.9,8618.0,2602.1246575935143,1135.852543969702,3-6min
054495-19042023,2023-04-19,2023,23,TOWER HAMLETS,537450,179450,242.0,Millwall,inf,inf,51.497287402729114,-0.02129550574862239,Millwall,51.500806,-0.025725,19.77,62455.0,7085.781804491156,497.8586294064348,3-6min
115474-01082023,2023-08-01,2023,10,LEWISHAM,538050,174750,203.0,Lewisham,inf,inf,51.45490669334978,-0.01449245007679892,Lewisham,51.45686739,-0.01361552,35.15,74952.0,9675.507202337956,226.4969898129551,3-6min
065547-10052023,2023-05-10,2023,20,KENSINGTON AND CHELSEA,528050,178850,203.0,Chelsea,51.49411992426199,-0.15749824099401388,51.49410075684426,-0.15685074553250433,Chelsea,51.4871072,-0.1728153,12.13,47980.0,3854.144421682529,1321.2997616610792,3-6min
000577-01012023,2023-01-01,2023,19,EALING,516850,181250,202.0,Ealing,inf,inf,51.51809441750594,-0.31731230785240344,Ealing,51.51217,-0.3137,55.53,91532.0,12909.930286465416,705.2263931759621,3-6min
068492-16052023,2023-05-16,2023,14,ISLINGTON,531850,184750,301.0,Shoreditch,51.54656123210766,-0.10037274005126996,51.546248457517976,-0.09993866859988483,Shoreditch,51.526625,-0.084321,19.06,86652.0,3690.5814748025655,2481.680793314701,3-6min
166440-25102023,2023-10-25,2023,1,EALING,512350,179050,263.0,Southall,51.499546255147756,-0.38337605308190076,51.499233123518664,-0.3828396587067496,Southall,51.51144,-0.37448,55.53,91532.0,17114.811924824804,1459.1699387376907,3-6min
079758-04062023,2023-06-04,2023,21,RICHMOND UPON THAMES,513650,171450,207.0,Twickenham,51.430513415838156,-0.3665945814332832,51.43066580966985,-0.3665603756272603,Twickenham,51.4674071,-0.3199681,57.41,97616.0,14048.66163547699,5228.805911939605,3-6min
161063-15102023,2023-10-15,2023,22,LAMBETH,530250,170350,211.0,Norbury,51.41720942555262,-0.12873687564520148,51.41721152704733,-0.12830533542616515,Norbury,51.40681223,-0.1212487,86.52,78101.0,11181.546872069295,1267.9634960414264,3-6min
019783-08022023,2023-02-08,2023,22,CROYDON,532550,167850,320.0,Norbury,inf,inf,51.394212334590634,-0.096182552731189,Norbury,51.40681223,-0.1212487,86.52,78101.0,11181.546872069295,2237.8534343081533,3-6min
008810-19012023,2023-01-19,2023,11,GREENWICH,545450,177150,195.0,Plumstead,inf,inf,51.47462089563173,0.0929249510022874,Plumstead,51.48742785,0.09135732,47.35,57851.0,15319.13487631769,1429.024986136433,3-6min
